Format Version,1.24,Take Name,Take 2025-07-02 05.22.24 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-02 05.22.25.163 午後,Capture Start Frame,702449,Total Frames in Take,666,Total Exported Frames,666,Rotation Type,YXZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-11.495825,-53.114265,9.166069,58.889072,134.957230,34.564564,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.101250,159.617142,53.024727,7.621855,136.964142,6.737687,104.603096,144.304428,3.905980,-78.887779,80.148094,34.405617,109.914154,163.147690,53.129120,205.635284,113.315697,46.078995,-82.455292,98.410271,82.556358,-85.751694,129.453827,40.127171,,,,,,,,,
7,0.058333,-11.443335,-53.115070,9.076461,58.866520,134.922485,34.577751,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.107559,159.613892,53.022263,7.627954,136.960129,6.740814,104.613945,144.322906,3.912619,-78.855949,80.147171,34.402203,109.921516,163.134842,53.124985,205.503815,113.009773,46.159035,-82.445312,98.415474,82.561111,-85.736931,129.571350,40.127689,,,,,,,,,
8,0.066667,-11.558895,-52.978405,9.131969,58.921162,134.799759,34.468777,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.078360,159.631683,53.006847,7.655682,136.990738,6.742089,104.794365,144.172302,3.849787,-78.847748,80.125557,34.400143,109.913101,163.132767,53.128002,205.497665,113.005791,46.165115,-82.437019,98.390060,82.556313,-85.724899,129.476669,40.147774,,,,,,,,,
9,0.075000,-11.453830,-53.141106,9.079403,58.864132,134.912537,34.578205,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.100548,159.613586,53.029541,7.618701,136.959625,6.747149,104.606705,144.286957,3.906484,-78.846191,80.124977,34.407852,109.893318,163.140625,53.158573,205.492157,113.025024,46.174995,-82.430115,98.372902,82.546204,-85.746384,129.466125,40.138962,,,,,,,,,
10,0.083333,-11.493868,-53.132915,9.161500,58.881386,134.975830,34.572010,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.076961,159.652725,53.008041,7.618670,136.971848,6.750502,104.586037,144.361359,3.926280,-78.865143,80.124664,34.411842,109.908188,163.147873,53.133308,205.626007,113.328896,46.099377,-82.441490,98.389671,82.552193,-85.773079,129.463150,40.137886,,,,,,,,,
11,0.091667,-11.469999,-53.134941,9.155293,58.898617,135.015503,34.587570,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.096928,159.625717,53.033241,7.614120,137.055206,6.816299,104.614655,144.334869,3.918422,-78.850739,80.143608,34.408676,109.896744,163.161469,53.162170,205.646835,113.342316,46.072041,-82.446465,98.417076,82.563057,-85.776596,129.520859,40.128151,,,,,,,,,
12,0.100000,-11.476059,-53.142334,9.156874,58.901123,135.006821,34.577381,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.082797,159.645416,53.004257,7.621533,137.051514,6.816832,104.613869,144.306931,3.901960,-78.868004,80.139664,34.414364,109.901405,163.149338,53.163235,205.657593,113.341278,46.081253,-82.415924,98.424690,82.574768,-85.746262,129.533859,40.131454,,,,,,,,,
13,0.108333,-11.464621,-53.070713,9.083505,58.864529,134.912277,34.578472,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.105114,159.618286,53.030014,7.626347,136.967880,6.746397,104.615776,144.353622,3.940292,-78.857201,80.122215,34.396915,109.914558,163.147430,53.136429,205.506378,113.030380,46.174927,-82.440857,98.391342,82.554008,-85.735420,129.512054,40.140034,,,,,,,,,
14,0.116667,-11.417761,-53.150860,9.050143,58.851635,134.936401,34.607651,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.096655,159.716461,53.081924,7.619654,136.957367,6.744015,104.611557,144.325134,3.918198,-78.845566,80.122978,34.408482,109.913635,163.138931,53.131474,205.498383,113.022186,46.174183,-82.425667,98.360069,82.518547,-85.734558,129.522049,40.141483,,,,,,,,,
15,0.125000,-11.417130,-53.117439,9.041808,58.854900,134.934006,34.596359,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.094197,159.613297,53.027252,7.655443,137.000671,6.747215,104.600044,144.331284,3.930726,-78.850258,80.116997,34.407990,109.909264,163.140259,53.128643,205.495132,113.009399,46.164207,-82.435326,98.373833,82.547035,-85.739281,129.537430,40.143497,,,,,,,,,
